studentRegNo,courseCode,grade
S11053,CE175,C
S13147,DS231,C
S10229,ENG535,A
S12481,CE175,C
S12125,DS286,C
S14233,POLI307,B
S11395,CHEM597,B
S11276,DS400,D
S12574,ENG367,B
S13975,BIO431,A
S14302,PSY346,A
S13111,ECE107,C
S10530,ENG275,A
S11691,ECE214,A
S14985,PHY498,C
S10979,STAT432,A
S14086,PSY335,C
S10099,DS530,C
S14293,CYB559,A
S11659,DS286,C
S13264,CHEM420,A
S12699,CE359,A
S14532,CE592,B
S14405,STAT546,A
S10458,CS328,C
S12031,ECON225,B
S11496,BIO453,F
S12007,CHEM216,C
S13736,STAT190,A
S14990,HIST236,C
S10748,CHEM480,A
S10521,CE563,F
S14280,STAT255,A
S11864,BIO224,C
S14761,CHEM344,B
S14398,CHEM551,C
S12612,DS504,C
S11609,CHEM344,A
S10683,HIST343,A
S14443,CS401,A
S13991,STAT253,C
S14765,HIST320,D
S10913,ENG468,D
S11595,CS401,D
S13737,CYB100,B
S13335,SOC407,B
S11446,PHY268,B
S14212,CHEM245,F
S12454,BIO235,D
S12039,POLI274,B
S14597,PSY357,B
S13604,SOC157,F
S11492,ECE349,A
S14174,ECON340,B
S11464,ECE133,C
S12495,STAT148,F
S13630,ENG275,C
S14412,POLI521,A
S10890,ECON490,A
S12516,POLI356,B
S14345,HIST341,A
S12458,ECON574,C
S14677,ECON444,A
S11281,ECE198,C
S11407,CYB536,A
S11287,CHEM266,F
S13881,CHEM434,C
S13415,POLI499,C
S11873,ECE577,B
S12487,CHEM289,A
S12733,CE472,B
S12583,SOC330,B
S14614,STAT301,C
S10046,ECON490,F
S10453,PHY595,B
S11146,BIO599,B
S12246,BIO109,D
S11656,ECE206,C
S12096,DS250,D
S10193,CHEM264,B
S13132,CHEM266,C
S11633,BIO508,A
S14120,DS325,D
S10875,PSY138,A
S12666,ECE470,B
S14857,ECON340,F
S10376,POLI499,C
S13989,CS227,B
S14970,DS400,B
S10830,CE128,C
S12261,ECE375,B
S12328,CYB156,B
S10606,CHEM266,F
S13389,DS522,A
S11232,CS401,B
S11638,SOC387,A
S12008,BIO267,C
S12135,SOC385,B
S12387,BIO453,A
S10557,CS545,C
S12571,ECE590,D
S13652,CYB482,D
S11508,CHEM264,B
S13774,CHEM285,B
S12121,DS230,C
S10189,PHIL171,A
S13365,CE318,B
S13984,BIO508,A
S14328,HIST130,F
S14196,CHEM291,A
S13581,HIST116,F
S12679,DS504,B
S12315,MATH394,B
S10549,BIO476,A
S10754,CS598,C
S10920,SOC372,A
S14206,PHY533,D
S14701,CHEM572,B
S11563,DS484,A
S13530,MATH518,B
S13696,ECE555,D
S11246,PHY433,B
S11488,BIO431,C
S13719,ECON370,C
S13542,ECE555,A
S14708,DS250,A
S13194,BIO109,A
S12640,CE318,A
S11825,PHIL399,C
S12675,SOC372,B
S11641,CYB494,D
S12905,BIO557,D
S14725,MATH178,A
S11214,PHIL205,B
S10826,ENG113,B
S10323,POLI499,A
S12855,ENG588,A
S12583,ECE575,A
S11710,ME203,B
S13475,CHEM238,A
S11779,DS495,B
S11124,HIST549,D
S13601,PSY163,D
S13072,ENG113,B
S11708,CYB294,A
S13592,ME304,A
S13117,HIST402,D
S10760,ECON596,A
S14737,ECE470,B
S11334,CE487,A
S14006,SOC479,C
S12595,HIST312,A
S10743,DS509,B
S13915,DS230,B
S13743,BIO108,A
S13440,ME304,F
S10819,POLI281,B
S12539,CHEM528,A
S12463,BIO217,F
S10691,PHY433,C
S13192,STAT548,B
S12250,CYB473,C
S12648,SOC123,A
S12039,STAT190,C
S11048,PHY365,A
S13848,ECON490,A
S14884,BIO510,A
S12400,ME290,C
S11290,ENG314,A
S14248,ECE594,A
S11487,DS286,D
S10896,DS502,A
S14075,SOC204,B
S13057,CS565,D
S12630,CHEM114,C
S12716,CHEM114,D
S10280,BIO476,D
S13339,SOC123,B
S14902,PHIL469,B
S11295,DS151,A
S11824,DS147,B
S10543,SOC157,F
S13804,HIST312,D
S14396,DS325,A
S14941,ME514,C
S12551,HIST343,B
S12104,ME165,B
S14423,MATH287,F
S10789,CHEM344,B
S14679,STAT200,A
S14216,CE166,D
S11168,BIO215,C
S10776,PSY467,B
S10862,CS227,A
S11512,CYB473,C
S12692,ENG463,F
S14839,ECE366,B
S12185,HIST489,D
S12686,ECE316,B
S11189,SOC396,C
S10280,CYB482,F
S13154,ECON423,A
S11621,STAT193,A
S10279,MATH527,C
S11326,ENG303,B
S14686,PSY346,B
S12817,MATH196,C
S14728,POLI307,B
S11759,CE332,C
S14471,DS325,A
S12288,ENG435,C
S12763,CE272,F
S11526,DS230,B
S13992,DS495,B
S10790,BIO442,D
S14252,MATH234,A
S12993,CE318,C
S14450,POLI164,A
S13747,BIO524,A
S14509,CHEM464,B
S12847,POLI257,B
S14532,CE581,A
S14134,STAT193,B
S14185,ECE199,A
S11817,BIO497,A
S12899,PSY369,C
S11243,CS388,D
S14301,SOC124,D
S12970,SOC376,A
S14348,MATH185,B
S10820,CS448,A
S11853,CS531,F
S11245,SOC376,F
S14994,ME317,D
S12280,DS125,F
S13283,HIST251,B
S14274,CHEM597,B
S13903,STAT339,B
S12457,CYB100,A
S14552,BIO442,B
S14865,ECON591,A
S13361,PHIL171,A
S11312,BIO491,F
S11986,CYB300,C
S13432,CYB300,C
S12036,MATH527,B
S11853,BIO593,F
S11150,BIO557,B
S14799,ECON583,C
S11686,SOC327,A
S12256,HIST489,B
S10960,ECE366,B
S10840,DS495,C
S13859,POLI218,C
S12447,DS520,A
S14997,CE332,A
S12796,STAT548,B
S10335,POLI295,D
S12092,SOC157,C
S13489,PHIL399,A
S13991,STAT488,B
S14283,CS152,A
S14942,ECON591,C
S12970,ENG223,D
S14051,CHEM528,C
S13542,ECON315,A
S10861,MATH542,C
S12259,CE563,B
S14160,PHY268,B
S12058,CHEM282,A
S10828,PHIL465,D
S11988,PHIL399,B
S14842,PHY322,C
S10851,POLI499,D
S13996,SOC387,C
S14633,SOC292,C
S13134,ECE121,C
S14836,ECON529,C
S10807,MATH394,A
S11954,SOC284,C
S14946,ECON315,D
S10326,PSY277,C
S13606,CYB536,B
S14282,CHEM119,F
S13537,BIO442,F
S11769,STAT390,A
S12694,DS150,B
S13376,BIO510,A
S13740,HIST534,D
S12937,PHIL519,C
S12886,CS598,F
S12266,CS328,C
S12658,ECE334,C
S12155,ENG493,C
S11715,SOC385,C
S14483,BIO431,B
S13287,ECON485,B
S11409,ECE532,B
S10728,CYB270,B
S14409,STAT478,D
S11864,BIO262,D
S10829,PHY568,C
S13326,CS260,C
S11525,CE487,B
S12168,SOC538,C
S12872,CE272,D
S12961,CHEM486,A
S11380,PHIL265,A
S11554,CS397,B
S14146,BIO458,C
S12426,CE487,C
S11457,ENG303,C
S10622,ENG201,A
S14898,PHY568,D
S13314,CYB536,B
S12786,SOC372,B
S11089,BIO571,B
S12407,CHEM414,C
S10673,PHIL265,F
S13625,DS522,A
S14489,CS179,C
S12242,ENG113,B
S11793,ECON225,D
S13607,BIO431,D
S11190,ENG106,B
S10170,DS539,C
S13595,HIST312,C
S14653,ECE198,B
S14248,CS397,B
S14714,SOC554,F
S13171,CYB482,B
S12981,ECON511,D
S13533,CHEM289,B
S11922,PSY263,B
S10631,ECE590,C
S12635,ECON540,D
S12022,PHIL507,B
S11054,ECE149,F
S14157,MATH462,B
S12568,PHY153,D
S14948,CHEM216,C
S14538,DS520,F
S13811,ECON237,C
S10435,PSY335,C
S14072,HIST402,B
S11403,STAT111,C
S14579,STAT432,A
S12847,CHEM344,D
S11211,DS132,C
S10535,ENG588,C
S14667,SOC229,F
S10225,PHIL465,C
S13529,ENG460,C
S11092,CE302,A
S13703,PHY258,B
S12495,BIO269,A
S14161,POLI584,B
S14420,CS448,C
S10055,CHEM597,C
S12935,DS400,A
S10581,CHEM414,A
S13389,CYB473,A
S11594,CS227,F
S11469,MATH527,A
S14054,CYB473,A
S10729,STAT148,F
S14702,BIO458,F
S13173,PHIL512,B
S13886,CS170,D
S11499,ECE149,B
S11453,MATH462,B
S12064,BIO355,A
S12134,SOC305,A
S12877,BIO431,C
S12782,ECE331,C
S14291,DS231,A
S14965,PHY131,F
S10484,MATH449,B
S11380,CYB100,F
S14334,ENG106,A
S13151,CS256,A
S14653,CS388,B
S10568,ECE589,A
S14081,STAT193,B
S12828,ECE149,D
S11267,SOC407,B
S11449,BIO556,B
S11454,CE359,A
S13646,ME115,C
S14403,SOC554,F
S10985,CHEM513,F
S12387,CHEM155,B
S11477,HIST402,B
S10816,ME354,A
S11271,PHIL413,F
S13724,ECE575,C
S13185,PHY501,B
S10953,BIO442,C
S12771,BIO226,B
S11961,ECON591,D
S11542,ECE506,B
S12935,HIST130,F
S13935,PHY515,D
S14842,DS150,D
S10745,CS439,C
S14319,CS388,C
S14357,ENG367,B
S14475,SOC429,A
S12624,PHIL169,B
S11622,PHIL249,F
S13492,ENG306,B
S10674,DS351,A
S10854,CHEM264,C
S14994,PHY299,B
S12352,CYB494,C
S10451,ECON370,D
S11540,POLI584,A
S14812,CYB482,F
S14446,PHIL188,C
S10392,BIO373,A
S12481,ENG297,A
S14405,CS126,D
S13553,STAT478,B
S11460,ECON360,B
S10366,POLI566,A
S13745,DS586,A
S11815,CHEM464,B
S11667,CYB353,A
S10127,SOC123,F
S11687,PHY560,C
S12379,CHEM102,F
S12709,STAT190,F
S11870,ME290,F
S13292,PHY122,A
S14904,BIO226,C
S12115,CHEM551,F
S14673,ENG463,D
S12537,SOC204,F
S12233,PHY309,C
S13406,POLI521,B
S12278,CS531,F
S13999,SOC229,C
S13239,ECE121,C
S13679,ME165,C
S11826,PSY136,C
S10944,PHY181,F
S14002,PHIL134,A
S12681,MATH185,F
S12101,ECE589,C
S13262,CHEM245,B
S12332,SOC538,C
S10888,HIST489,A
S11655,DS586,A
S14079,MATH202,A
S10292,ECON340,B
S10912,BIO217,A
S13179,ECE194,A
S10552,ENG223,B
S13038,CS324,C
S13621,CYB405,C
S14125,ECE492,F
S11723,DS471,B
S14659,ECE107,F
S12796,ECON540,F
S11437,MATH279,B
S10462,CYB300,B
S12390,POLI358,A
S11507,BIO421,A
S13595,ECON112,D
S10568,CS531,A
S14329,ECE247,C
S11174,CYB380,F
S10464,SOC157,C
S13358,PHY365,B
S11391,ECE470,F
S13034,CHEM119,A
S10850,MATH450,A
S13122,ME101,C
S13174,ENG493,C
S11839,ECON490,C
S14617,ENG379,A
S13902,SOC579,C
S13162,BIO244,C
S13168,SOC330,F
S11946,MATH449,B
S12048,DS276,F
S13727,DS345,F
S11254,CE332,B
S12950,ECE214,A
S11428,BIO593,F
S12107,CHEM551,A
S10171,CE321,D
S11179,ECE121,B
S14435,CYB536,A
S13295,POLI164,D
S12891,ECE206,F
S13449,BIO552,B
S13705,SOC327,F
S13797,DS286,B
S13267,HIST168,C
S11686,ECON225,A
S11564,PSY391,A
S12977,PHY560,B
S13344,CHEM291,C
S11749,STAT301,A
S10890,PHY377,C
S12460,CE563,D
S13376,CS126,A
S12766,CHEM382,D
S13148,SOC579,B
S11477,ENG582,B
S11691,ENG297,C
S11411,DS239,F
S14615,ENG493,A
S13292,MATH394,C
S11620,CS177,B
S13838,ECON225,D
S11069,ECON490,F
S12590,STAT412,F
S14346,BIO476,C
S10289,DS446,A
S10535,ECE143,A
S10432,BIO269,D
S12566,CHEM576,F
S11663,CHEM480,A
S11744,POLI257,D
S12973,CE419,F
S14779,CE563,D
S13891,POLI273,C
S12373,STAT255,A
S14602,PHY181,F
S11245,STAT183,B
S14360,POLI566,C
S11296,SOC387,C
S13846,BIO458,F
S12043,BIO599,A
S11201,CS565,B
S10322,PHIL169,D
S13873,CYB294,B
S10163,DS400,C
S12968,CHEM576,B
S14685,STAT193,B
S10162,ECON596,B
S14643,DS276,D
S10696,POLI553,B
S11451,PHIL169,C
S13224,PHY569,A
S11614,CE592,C
S12394,CHEM464,C
S10680,POLI281,C
S14052,BIO108,C
S14835,BIO313,F
S12991,ENG535,B
S14205,PHY243,F
S10192,CYB350,B
S11367,CS126,C
S12511,MATH234,B
S13546,CE272,A
S13752,BIO437,A
S14516,HIST116,A
S10087,BIO476,C
S12479,CYB294,A
S13851,CYB294,B
S12214,ECE456,B
S13004,ECON511,B
S13477,BIO308,C
S11084,ENG582,B
S12142,CHEM382,A
S12307,HIST236,A
S13685,CS570,C
S12610,SOC541,B
S10929,STAT111,D
S10876,BIO224,A
S13058,ECE133,A
S11941,PHY498,A
S10617,ENG104,C
S12794,CS545,F
S10576,CS179,C
S13774,ECON423,D
S10866,PHIL413,A
S11136,MATH202,F
S10664,PHIL195,A
S10750,ME101,B
S11909,CHEM207,A
S10650,SOC298,B
S14336,ECE198,B
S11616,MATH462,F
S14959,STAT461,A
S12359,STAT474,C
S10501,CHEM326,A
S10051,STAT140,A
S11619,MATH234,A
S14440,MATH394,F
S11015,PSY459,C
S11541,PHIL195,D
S11865,STAT183,B
S14852,HIST251,C
S14150,POLI427,B
S13494,CYB228,D
S11972,PHY371,A
S12061,BIO244,C
S10529,PHY131,A
S12819,POLI562,C
S13523,STAT140,C
S13653,ENG106,F
S10722,PSY263,C
S12961,STAT457,C
S10539,PSY391,B
S12613,SOC330,B
S13935,CHEM289,B
S14006,CS260,B
S11558,CHEM216,C
S10349,BIO453,B
S13808,MATH550,B
S13303,CS337,D
S13804,ECE331,A
S13158,ENG314,F
S11142,PHY503,B
S11223,ME304,B
S13558,CE505,D
S11415,CS177,C
S11506,CS211,A
S13205,HIST341,A
S12763,ENG201,A
S13213,PHY181,B
S14500,PHIL242,A
S13985,MATH410,C
S13545,PHY322,F
S11309,ECE349,F
S10489,ME280,F
S10548,SOC587,B
S13905,POLI411,B
S11926,PHY365,F
S11772,BIO313,B
S12523,ECON423,A
S12544,MATH450,C
S10998,PHIL406,A
S12309,POLI274,C
S11049,CHEM289,C
S13879,DS132,A
S13031,BIO313,A
S12672,ENG452,A
S12560,DS424,F
S13900,DS502,B
S12791,PSY395,C
S11592,STAT561,A
S12636,ME500,C
S11875,MATH462,C
S11941,POLI516,D
S14002,CS388,B
S10158,CS260,B
S10783,CE296,C
S12634,BIO141,B
S13790,CYB408,F
S12179,PHIL134,B
S11582,CE505,C
S11172,DS286,D
S10483,SOC342,A
S10025,BIO267,B
S13953,SOC387,A
S12234,ECE589,B
S12573,STAT409,D
S11638,POLI521,D
S11541,ECE590,F
S14956,ECE161,B
S10496,BIO476,D
S14288,DS509,B
S12033,DS504,B
S10089,ENG252,B
S11180,HIST251,A
S13452,STAT140,B
S11209,CS328,C
S14548,ENG180,C
S12573,CHEM155,F
S13735,POLI241,A
S14968,CE332,B
S14804,ME165,B
S10138,PSY163,A
S12674,CHEM382,B
S11161,CHEM261,D
S13072,ME381,A
S13557,SOC430,B
S11458,BIO267,C
S10282,SOC429,B
S14633,CE487,C
S14191,CE128,C
S11080,ME354,A
S10556,PHIL171,A
S14282,STAT183,F
S11925,DS147,C
S12925,POLI273,A
S12814,DS484,A
S13281,ENG379,A
S13410,CYB428,C
S11269,CYB380,D
S11697,BIO329,A
S12136,CHEM216,A
S14568,ECON112,A
S11847,DS345,A
S11794,STAT488,A
S11250,ENG588,D
S14100,PSY263,B
S13242,BIO109,B
S12372,ME352,A
S13399,ME381,A
S11639,CS401,A
S11880,SOC398,B
S12862,PSY459,A
S13015,ECON360,D
S11344,ENG303,A
S14392,STAT103,F
S12305,HIST236,C
S14185,SOC298,A
S11651,CHEM486,C
S12740,STAT200,B
S12132,STAT301,A
S12337,ECE331,A
S14942,PHY595,C
S14192,CYB494,B
S11514,SOC157,A
S10874,CHEM480,F
S11684,MATH202,C
S12446,ME526,C
S11755,POLI553,C
S12485,SOC284,B
S11882,STAT390,D
S12067,CS211,B
S12538,ENG106,A
S11482,ECON540,B
S14092,POLI584,C
S12681,ECE334,F
S14930,ECON485,A
S14027,DS345,C
S12337,PHIL507,F
S12035,SOC139,C
S10002,CYB536,A
S10409,SOC538,A
S12246,CHEM576,A
S13645,POLI295,C
S11306,ECE149,A
S11763,SOC430,A
S13466,SOC479,D
S10623,PHY243,B
S10183,ENG252,C
S10983,BIO254,A
S13743,CHEM576,F
S11676,ECE161,F
S10248,MATH550,F
S13903,PHIL189,A
S10705,DS471,A
S14749,CE455,C
S12212,STAT111,C
S13929,DS132,C
S11255,PHY210,A
S13091,ME115,A
S13542,HIST525,B
S11433,CS598,A
S10360,CE436,A
S12300,ENG463,B
S13925,ME203,D
S10199,DS443,B
S11540,CE220,C
S10015,STAT432,A
S14613,MATH527,D
S14578,SOC587,C
S11896,STAT466,D
S10387,CYB246,B
S14899,ENG288,B
S13870,CE378,A
S13041,DS471,C
S11193,CHEM264,C
S12840,BIO308,A
S13291,ME290,B
S12846,ECE492,B
S14051,CS445,B
S12951,CE592,B
S14932,SOC229,D
S12726,DS573,B
S13822,SOC330,C
S11345,ECE555,A
S14148,CS570,D
S11188,PHIL406,B
S11306,ENG535,C
S11142,ME517,C
S13246,BIO141,D
S10916,POLI356,B
S14256,PHY153,C
S12086,PHY578,C
S11349,STAT478,A
S12743,CYB350,A
S13058,CYB380,F
S14285,CE436,D
S11794,PSY395,B
S13342,ENG452,C
S10871,BIO215,C
S13716,CS179,D
S11542,STAT466,A
S14132,DS509,A
S11182,PHY568,A
S12511,ENG223,C
S12481,DS522,A
S10791,SOC587,D
S10192,BIO108,A
S10991,ECE206,A
S10584,PHIL134,B
S10974,ECE316,F
S13301,MATH105,C
S12459,ENG275,B
S11707,STAT255,B
S14830,CS570,B
S14860,ECE121,C
S10258,BIO355,B
S10254,DS230,C
S13143,ECON485,B
S10802,ECE316,C
S12875,SOC585,F
S14016,ENG113,B
S13993,STAT488,F
S13890,SOC229,B
S10679,ECON225,C
S10770,CE332,B
S12763,ENG223,C
S13844,POLI117,B
S14527,BIO497,C
S13696,PHY210,C
S10777,MATH105,C
S14861,SOC541,C
S10231,PHY578,B
S10566,PSY357,A
S12250,ECE456,C
S14388,CHEM434,C
S12074,PHIL399,A
S14233,DS351,A
S13700,DS250,D
S10326,POLI248,C
S13495,CYB156,C
S10629,ENG201,B
S12040,CHEM102,B
S11446,DS495,B
S12476,STAT193,A
S14780,ECE532,B
S13642,CHEM513,C
S10951,DS151,A
S11081,SOC479,F
S14957,CS388,A
S14064,MATH287,C
S13522,CYB110,C
S13017,CHEM425,B
S13429,SOC342,A
S13574,SOC385,C
S10548,ECE133,A
S12929,HIST343,B
S11992,ME564,F
S11126,ECE161,A
S10707,CHEM392,A
S11609,CS328,C
S14472,CHEM291,C
S13914,PHIL134,F
S11519,SOC398,B
S14584,PSY120,A
S11207,STAT253,A
S13200,MATH105,B
S14179,PHY503,A
S14297,CYB440,B
S14346,ENG104,B
S11122,PSY263,F
S13935,BIO510,A
S13889,CHEM344,B
S10811,PHIL188,B
S14435,DS539,D
S11196,CE441,A
S14176,HIST174,D
S10557,CHEM344,B
S10594,CYB389,A
S13387,ECON529,C
S11846,CE523,B
S10488,ECON485,B
S12625,POLI499,B
S11577,DS443,C
S13061,CYB300,B
S11840,PHY483,F
S13926,CHEM414,F
S14174,ECE555,B
S11288,ENG223,C
S12356,ME354,C
S13545,SOC407,A
S10543,SOC387,A
S11192,DS495,C
S13027,PHIL242,B
S13805,STAT432,D
S12797,STAT255,D
S14958,BIO267,F
S13849,CYB361,B
S14829,CE455,C
S14957,PHIL406,C
S14702,CS170,B
S10745,POLI454,B
S12805,SOC372,B
S10515,CYB228,C
S12222,PSY547,B
S14206,CHEM216,B
S12655,ME564,A
S11566,ECON278,F
S11571,DS522,B
S13371,PHIL242,B
S13472,BIO442,C
S11140,BIO510,C
S12416,ECE197,C
S12961,CHEM464,B
S12630,SOC204,C
S14765,ECE366,A
S12387,PHIL426,A
S14899,DS504,C
S12763,STAT193,D
S14071,CHEM291,A
S13967,PSY467,B
S14654,PSY335,B
S11198,DS230,C
S12068,PSY163,F
S14511,STAT301,A
S11547,PHY515,F
S14055,CE332,F
S14510,SOC398,D
S14187,STAT390,B
S12176,CS126,F
S14010,DS404,A
S13581,SOC298,B
S11144,ME192,A
S10446,ECE121,D
S12272,CHEM155,B
S12198,ME165,C
