studentRegNo,courseCode,grade,semester,enrollmentYear
S10003,CYB256,F,FALL,2022
S10003,ECON116,F,FALL,2023
S10003,CS377,B,SPRING,2022
S10003,CE490,F,WINTER,2024
S10003,PHIL278,B,SUMMER,2024
S10003,ECON579,B,SPRING,2023
S10003,MATH113,C,SPRING,2023
S10003,STAT565,C,FALL,2025
S10003,CS411,B,FALL,2025
S10003,CHEM486,F,SUMMER,2026
S10003,CHEM557,B,SPRING,2026
S10003,BIO272,F,SUMMER,2023
S10003,CS572,A,FALL,2022
S10003,POLI524,F,FALL,2023
S10003,SOC564,B,FALL,2022
S10003,POLI234,C,WINTER,2022
S10003,ECON514,B,FALL,2023
S10003,BIO485,F,FALL,2023
S10003,CE402,C,SPRING,2023
S10003,CS210,B,SUMMER,2022
S10003,CE487,C,SPRING,2024
S10004,PHY119,B,SPRING,2023
S10004,ECE415,C,WINTER,2025
S10004,CS240,C,FALL,2023
S10004,CHEM285,B,SUMMER,2022
S10004,MATH237,C,FALL,2022
S10004,STAT437,A,SPRING,2025
S10004,ECON228,D,SPRING,2026
S10004,STAT500,C,WINTER,2026
S10004,BIO434,F,WINTER,2025
S10004,ECON514,B,FALL,2024
S10004,DS495,B,SPRING,2023
S10004,CS411,C,FALL,2023
S10004,BIO106,B,SUMMER,2023
S10004,PSY163,B,WINTER,2024
S10004,ME257,A,WINTER,2024
S10004,HIST391,A,SPRING,2024
S10004,POLI438,D,WINTER,2024
S10004,CHEM264,C,FALL,2022
S10004,CHEM528,A,SPRING,2026
S10004,PHY235,C,SUMMER,2022
S10004,CS533,A,SUMMER,2026
S10004,HIST191,B,SPRING,2023
S10004,CHEM327,B,WINTER,2025
S10004,PHY336,B,FALL,2023
S10004,ENG108,C,FALL,2025
S10004,CS325,A,SUMMER,2022
S10004,ECE104,F,SPRING,2023
S10004,ECE338,F,SUMMER,2026
S10004,ME118,F,WINTER,2026
S10004,CYB594,A,FALL,2026
S10005,ME532,A,SPRING,2024
S10005,BIO539,B,SUMMER,2024
S10005,PSY534,C,SUMMER,2025
S10005,CE280,B,SUMMER,2022
S10005,PHY376,B,FALL,2022
S10005,STAT467,C,SUMMER,2022
S10005,SOC122,B,SPRING,2025
S10005,ECE407,F,WINTER,2024
S10005,BIO220,C,SPRING,2023
S10005,CS279,A,SUMMER,2026
S10005,CYB155,A,SUMMER,2022
S10005,BIO139,F,FALL,2023
S10005,ME359,F,FALL,2023
S10005,CHEM327,A,SUMMER,2023
S10005,PSY157,C,SPRING,2025
S10005,POLI361,D,SPRING,2026
S10005,PHIL221,B,WINTER,2022
S10005,PSY204,C,WINTER,2022
S10005,ENG266,B,SPRING,2022
S10005,ENG392,C,FALL,2022
S10005,CYB290,B,FALL,2024
S10005,POLI524,A,SPRING,2026
S10005,CE521,D,FALL,2025
S10005,CS448,A,SPRING,2024
S10005,ECON312,C,FALL,2022
S10005,PSY136,B,SPRING,2025
S10005,HIST428,F,SPRING,2023
S10005,PHY318,A,SUMMER,2022
S10005,ENG548,A,SUMMER,2023
S10005,ECE244,F,SUMMER,2023
S10006,SOC214,C,SUMMER,2026
S10006,CYB389,B,FALL,2023
S10006,PSY357,B,SPRING,2023
S10006,CE394,C,WINTER,2022
S10006,ECE422,A,SPRING,2024
S10006,PHY380,A,SPRING,2024
S10006,CHEM475,C,FALL,2022
S10006,BIO314,D,FALL,2025
S10006,MATH375,B,SUMMER,2022
S10006,DS162,B,WINTER,2026
S10006,CS533,B,SPRING,2025
S10006,ECE549,F,WINTER,2026
S10006,CS370,C,FALL,2026
S10006,PHY508,C,SUMMER,2026
S10006,HIST126,B,SUMMER,2026
S10006,DS410,B,SUMMER,2025
S10006,ECE341,C,SUMMER,2024
S10006,STAT437,D,SUMMER,2023
S10006,ENG368,A,SPRING,2022
S10006,MATH366,B,WINTER,2025
S10006,CS325,C,SPRING,2023
S10006,CHEM262,B,SPRING,2024
S10006,MATH237,C,SPRING,2024
S10006,CHEM199,A,WINTER,2025
S10006,CHEM528,B,SUMMER,2025
S10006,ENG250,B,SUMMER,2026
S10006,ECE566,B,SUMMER,2026
S10006,POLI224,A,SPRING,2023
S10006,ECE268,B,SPRING,2022
S10006,DS509,F,WINTER,2026
S10007,CE394,A,WINTER,2025
S10007,SOC353,D,FALL,2024
S10007,PHIL423,F,WINTER,2025
S10007,BIO551,F,SUMMER,2022
S10007,DS495,B,FALL,2022
S10007,CE201,B,FALL,2023
S10007,CS560,C,FALL,2022
S10007,BIO192,C,SUMMER,2022
S10007,ENG548,A,SPRING,2023
S10007,CHEM332,D,FALL,2023
S10007,ME107,D,WINTER,2024
S10007,ENG185,C,SPRING,2024
S10007,PHY161,C,FALL,2023
S10007,BIO314,F,FALL,2024
S10007,POLI234,A,SUMMER,2026
S10007,ME491,C,SPRING,2023
S10007,ECE383,B,SUMMER,2024
S10007,CS464,B,SUMMER,2022
S10007,ECON576,B,SUMMER,2022
S10007,STAT340,B,SPRING,2025
S10007,ENG480,D,WINTER,2025
S10007,HIST151,B,WINTER,2024
S10007,CE164,B,WINTER,2025
S10007,POLI545,A,FALL,2025
S10007,ECON117,A,SUMMER,2022
S10007,CS526,C,SPRING,2025
S10007,BIO320,F,SUMMER,2022
S10007,CS112,F,WINTER,2025
S10007,ECE453,A,WINTER,2026
S10007,POLI137,D,WINTER,2025
S10008,CYB403,B,FALL,2022
S10008,HIST289,B,FALL,2025
S10008,SOC445,A,FALL,2022
S10008,POLI432,A,FALL,2024
S10008,CHEM332,D,WINTER,2023
S10008,STAT294,C,FALL,2022
S10008,CHEM264,F,SUMMER,2025
S10008,PSY324,A,SPRING,2024
S10008,CE190,B,SPRING,2026
S10008,ECON360,C,FALL,2025
S10008,MATH469,C,FALL,2023
S10008,SOC401,A,FALL,2022
S10008,PHY243,B,FALL,2026
S10008,ENG583,A,WINTER,2022
S10008,DS495,B,SPRING,2026
S10008,CE149,B,FALL,2026
S10008,BIO218,D,SPRING,2025
S10008,CS252,B,SUMMER,2024
S10008,CE352,F,FALL,2025
S10008,MATH274,F,SPRING,2025
S10008,SOC124,C,FALL,2023
S10008,PHY388,F,WINTER,2023
S10008,PHIL365,C,SPRING,2026
S10008,PHIL559,A,WINTER,2024
S10008,ENG368,A,SPRING,2022
S10008,HIST396,D,WINTER,2026
S10008,ME532,C,FALL,2025
S10008,CYB575,A,SPRING,2023
S10008,PHY318,F,FALL,2024
S10008,SOC246,F,SUMMER,2025
S10009,PHY376,B,FALL,2025
S10009,MATH375,B,SUMMER,2024
S10009,DS509,D,FALL,2023
S10009,CHEM199,F,SUMMER,2025
S10009,CS103,C,SUMMER,2024
S10009,PHY350,A,SUMMER,2022
S10009,CS526,B,SPRING,2022
S10009,CE521,A,WINTER,2023
S10009,MATH113,C,WINTER,2025
S10009,HIST289,C,SPRING,2026
S10009,PSY204,B,WINTER,2022
S10009,ECE244,B,FALL,2023
S10009,CHEM582,B,FALL,2023
S10009,CHEM585,C,SPRING,2023
S10009,ENG392,B,SUMMER,2022
S10009,PHY318,C,WINTER,2025
S10009,ENG474,C,FALL,2022
S10009,CHEM327,B,FALL,2026
S10009,MATH366,F,FALL,2026
S10009,CE164,B,FALL,2022
S10009,ECE525,F,FALL,2026
S10009,CHEM332,C,SUMMER,2022
S10009,CYB251,B,SUMMER,2025
S10009,CHEM570,D,FALL,2023
S10009,DS156,C,SPRING,2025
S10009,SOC466,D,FALL,2024
S10009,ECON461,A,SPRING,2022
S10009,ME532,C,SUMMER,2023
S10009,PHY161,A,FALL,2023
S10009,POLI555,A,SPRING,2025
S10010,POLI292,C,SPRING,2022
S10010,SOC546,A,FALL,2024
S10010,CHEM582,A,WINTER,2025
S10010,PSY212,B,SPRING,2022
S10010,DS444,B,SPRING,2026
S10010,CE200,B,WINTER,2023
S10010,PHY235,C,WINTER,2024
S10010,STAT340,C,SUMMER,2024
S10010,CHEM177,B,WINTER,2024
S10010,MATH348,C,SUMMER,2025
S10010,POLI516,A,SUMMER,2026
S10010,DS195,B,SPRING,2025
S10010,CHEM475,A,SPRING,2026
S10010,ECON354,B,SPRING,2025
S10010,ECE244,B,WINTER,2022
S10010,CS167,C,FALL,2024
S10010,CE201,B,SUMMER,2025
S10010,MATH425,B,FALL,2023
S10010,ENG548,B,SPRING,2025
S10010,MATH145,A,WINTER,2023
S10010,CS586,A,SUMMER,2025
S10010,SOC364,D,WINTER,2026
S10010,CYB538,C,FALL,2024
S10010,ECE470,B,SPRING,2024
S10010,PHY483,F,WINTER,2022
S10010,PSY209,B,SUMMER,2025
S10010,PHY101,C,SUMMER,2025
S10010,MATH322,A,SUMMER,2024
S10010,POLI134,B,SPRING,2023
S10010,BIO351,B,WINTER,2022
S10011,CE158,B,SUMMER,2025
S10011,POLI277,B,WINTER,2023
S10011,ME456,B,SPRING,2025
S10011,PHY303,B,SPRING,2022
S10011,PSY460,B,WINTER,2026
S10011,ME165,F,SUMMER,2022
S10011,ECON496,B,FALL,2024
S10011,BIO551,C,WINTER,2024
S10011,BIO347,B,SPRING,2024
S10011,ECE530,D,SUMMER,2022
S10011,CHEM512,B,FALL,2025
S10011,PHIL542,B,FALL,2025
S10011,PHY350,C,FALL,2023
S10011,ECE407,A,SPRING,2026
S10011,BIO310,A,SUMMER,2025
S10011,POLI451,C,SUMMER,2022
S10011,BIO220,F,FALL,2024
S10011,PHY114,C,FALL,2026
S10011,SOC248,B,SUMMER,2026
S10011,MATH237,C,SUMMER,2025
S10011,ME359,A,WINTER,2022
S10011,CS210,C,SUMMER,2023
S10011,POLI555,D,SUMMER,2025
S10011,CE535,A,WINTER,2025
S10011,STAT500,C,WINTER,2024
S10011,BIO309,F,WINTER,2024
S10011,MATH131,C,WINTER,2024
S10011,CHEM387,C,FALL,2022
S10011,DS495,C,SPRING,2022
S10011,CYB265,B,SUMMER,2025
S10014,CHEM285,C,FALL,2022
S10014,BIO374,A,SPRING,2023
S10014,CE201,B,WINTER,2024
S10014,ENG180,A,FALL,2022
S10014,POLI529,C,WINTER,2023
S10014,CS302,C,FALL,2026
S10014,POLI540,A,SPRING,2025
S10014,STAT467,C,SPRING,2023
S10014,DS217,D,SPRING,2024
S10014,SOC248,B,SPRING,2026
S10014,POLI510,B,FALL,2024
S10014,DS182,D,WINTER,2026
S10014,ECE566,D,WINTER,2026
S10014,CE291,D,WINTER,2022
S10014,PHIL269,A,FALL,2022
S10014,ME311,B,SUMMER,2022
S10014,CS210,C,SPRING,2023
S10014,ECE383,C,FALL,2026
S10014,CHEM475,A,SPRING,2024
S10014,STAT227,C,SUMMER,2026
S10014,PHY581,B,WINTER,2025
S10014,BIO106,F,FALL,2026
S10014,ME118,A,SUMMER,2023
S10014,ME532,C,SUMMER,2024
S10014,HIST110,B,FALL,2022
S10014,CHEM486,D,WINTER,2022
S10014,ENG369,D,SPRING,2022
S10014,CE152,C,SUMMER,2022
S10014,PHIL356,B,SUMMER,2025
S10014,PHY303,C,SUMMER,2025
S10015,CHEM254,B,SPRING,2025
S10015,CS240,B,SUMMER,2026
S10015,BIO334,B,WINTER,2026
S10015,CS203,A,SPRING,2023
S10015,HIST151,A,WINTER,2023
S10015,PHY235,F,WINTER,2023
S10015,BIO596,B,FALL,2023
S10015,CS435,A,SUMMER,2024
S10015,DS395,B,SPRING,2025
S10015,ECE341,C,SUMMER,2022
S10015,POLI292,C,SPRING,2026
S10015,CE249,B,SUMMER,2025
S10015,CHEM319,D,SPRING,2025
S10015,PHY147,F,FALL,2022
S10015,MATH213,A,SUMMER,2025
S10015,ME595,A,WINTER,2026
S10015,PHIL308,D,WINTER,2022
S10015,CHEM387,B,FALL,2022
S10015,ME242,A,SUMMER,2025
S10015,BIO347,A,FALL,2023
S10015,CHEM245,C,WINTER,2023
S10015,SOC564,B,FALL,2023
S10015,MATH459,C,WINTER,2023
S10015,ECON373,C,FALL,2025
S10015,ME359,A,SUMMER,2025
S10015,DS225,C,FALL,2025
S10015,PSY295,B,SPRING,2025
S10015,ENG108,B,SPRING,2022
S10015,ECON354,B,SUMMER,2022
S10015,SOC472,A,FALL,2025
S10017,CHEM264,A,SPRING,2023
S10017,STAT452,C,FALL,2023
S10017,CYB389,B,FALL,2026
S10017,ME406,C,SPRING,2026
S10017,PHIL308,A,SPRING,2026
S10017,SOC546,C,FALL,2024
S10017,PSY102,A,FALL,2023
S10017,MATH237,B,WINTER,2023
S10017,ECE453,F,SUMMER,2024
S10017,BIO207,A,SPRING,2023
S10017,CHEM486,B,FALL,2025
S10017,CHEM387,A,WINTER,2024
S10017,MATH506,D,SPRING,2022
S10017,PHY350,B,SUMMER,2022
S10017,ECON379,C,FALL,2026
S10017,ECE355,B,SPRING,2025
S10017,BIO260,B,SUMMER,2024
S10017,MATH591,B,FALL,2026
S10017,PHY433,B,SPRING,2025
S10017,BIO220,B,FALL,2026
S10017,PHY336,F,FALL,2026
S10017,PHIL462,C,SUMMER,2026
S10017,BIO347,B,SUMMER,2023
S10017,STAT363,C,SPRING,2023
S10017,PSY384,B,FALL,2022
S10017,BIO539,C,WINTER,2022
S10017,CHEM478,A,SPRING,2022
S10017,CHEM475,B,FALL,2025
S10017,PHY141,A,SPRING,2023
S10017,CS571,C,SPRING,2025
S10018,ENG465,C,SPRING,2025
S10018,CYB290,A,WINTER,2025
S10018,PHIL365,A,WINTER,2023
S10018,HIST409,B,FALL,2025
S10018,ECON228,A,WINTER,2025
S10018,ECE341,C,SPRING,2026
S10018,PHY336,C,SPRING,2022
S10018,BIO207,A,WINTER,2025
S10018,ECON579,C,FALL,2024
S10018,PHIL269,D,WINTER,2023
S10018,POLI574,B,WINTER,2022
S10018,POLI482,A,SPRING,2023
S10018,ECE468,A,SUMMER,2024
S10018,ME536,B,FALL,2026
S10018,CYB575,F,WINTER,2024
S10018,BIO169,B,SPRING,2026
S10018,DS184,C,SUMMER,2024
S10018,ENG368,B,FALL,2022
S10018,SOC466,C,FALL,2023
S10018,POLI524,F,FALL,2024
S10018,PHIL342,C,FALL,2022
S10018,BIO105,C,FALL,2024
S10018,CHEM262,A,FALL,2024
S10018,ECON313,C,WINTER,2022
S10018,HIST191,A,FALL,2022
S10018,ECE176,A,FALL,2026
S10018,STAT340,A,SUMMER,2026
S10018,POLI134,C,SPRING,2022
S10018,PSY102,A,SPRING,2026
S10018,HIST259,B,SUMMER,2026
S10019,ENG430,A,FALL,2026
S10019,ENG492,D,SPRING,2026
S10019,POLI296,B,WINTER,2023
S10019,PHIL269,D,SUMMER,2025
S10019,CE394,A,SPRING,2026
S10019,DS495,B,SPRING,2026
S10019,ME536,B,SUMMER,2023
S10019,CYB403,C,FALL,2024
S10019,HIST409,B,SUMMER,2024
S10019,STAT241,B,FALL,2022
S10019,CYB594,A,WINTER,2024
S10019,PHIL513,C,WINTER,2025
S10019,MATH477,B,WINTER,2023
S10019,SOC546,B,SUMMER,2022
S10019,ECE415,B,SPRING,2022
S10019,CHEM442,B,SUMMER,2025
S10019,STAT565,B,SUMMER,2022
S10019,PHIL342,B,WINTER,2024
S10019,BIO207,D,SPRING,2023
S10019,DS186,D,SUMMER,2022
S10019,PHY101,F,WINTER,2026
S10019,BIO501,F,SUMMER,2022
S10019,BIO218,D,SUMMER,2025
S10019,CS210,C,FALL,2026
S10019,ECE146,D,SPRING,2022
S10019,CYB575,C,FALL,2026
S10019,CYB511,B,FALL,2025
S10019,PSY414,C,FALL,2024
S10019,SOC175,C,SUMMER,2023
S10019,CHEM173,C,SUMMER,2022
S10020,MATH322,A,WINTER,2026
S10020,PHY433,C,SUMMER,2022
S10020,PHIL278,B,FALL,2025
S10020,HIST191,F,WINTER,2023
S10020,CS112,F,SPRING,2024
S10020,CHEM543,B,FALL,2026
S10020,STAT287,A,SPRING,2025
S10020,MATH537,B,WINTER,2023
S10020,ECE338,C,FALL,2026
S10020,PHIL494,C,SUMMER,2024
S10020,CE443,B,SPRING,2022
S10020,POLI277,F,SPRING,2023
S10020,SOC472,C,SPRING,2023
S10020,CS317,B,SUMMER,2025
S10020,PSY209,A,SUMMER,2026
S10020,ECE415,C,SUMMER,2024
S10020,MATH386,A,WINTER,2026
S10020,ENG548,C,WINTER,2022
S10020,CS571,B,SPRING,2023
S10020,ENG580,C,SUMMER,2023
S10020,PHY197,B,WINTER,2025
S10020,PSY295,A,SPRING,2026
S10020,CE291,C,FALL,2023
S10020,ME577,C,SPRING,2022
S10020,POLI482,B,WINTER,2023
S10020,BIO105,A,FALL,2023
S10020,CE200,B,SUMMER,2023
S10020,CYB326,C,WINTER,2024
S10020,POLI284,C,WINTER,2025
S10020,ENG369,C,SPRING,2023
S10021,CE190,B,SUMMER,2023
S10021,POLI545,C,WINTER,2025
S10021,CE535,F,FALL,2026
S10021,CS167,C,WINTER,2023
S10021,ECE142,F,SUMMER,2024
S10021,BIO314,B,SUMMER,2022
S10021,HIST527,F,SPRING,2024
S10021,CS533,B,WINTER,2023
S10021,PHY161,D,WINTER,2022
S10021,CE128,C,SPRING,2023
S10021,CHEM327,A,WINTER,2023
S10021,PSY426,D,WINTER,2025
S10021,BIO463,B,WINTER,2024
S10021,MATH131,C,SPRING,2022
S10021,BIO260,A,SPRING,2022
S10021,CE149,B,FALL,2025
S10021,BIO539,B,SPRING,2025
S10021,CHEM378,A,SPRING,2023
S10021,ME242,B,SUMMER,2022
S10021,ME536,A,SPRING,2026
S10021,CHEM199,C,FALL,2024
S10021,CS435,D,SUMMER,2025
S10021,PSY414,A,WINTER,2026
S10021,MATH477,B,WINTER,2025
S10021,ENG108,B,FALL,2022
S10021,ECE270,B,WINTER,2025
S10021,CHEM528,C,SPRING,2022
S10021,DS444,C,SPRING,2024
S10021,PSY534,C,FALL,2022
S10021,CS560,B,WINTER,2026
S10022,ENG159,D,WINTER,2022
S10022,CHEM570,C,SUMMER,2022
S10022,ECE146,C,SPRING,2025
S10022,CHEM193,B,SUMMER,2022
S10022,SOC473,B,WINTER,2022
S10022,ME144,B,WINTER,2023
S10022,DS195,B,FALL,2023
S10022,CHEM262,C,SPRING,2026
S10022,CE402,B,SUMMER,2024
S10022,HIST420,D,SUMMER,2024
S10022,CYB594,B,SPRING,2026
S10022,HIST110,A,SUMMER,2025
S10022,ENG492,F,FALL,2025
S10022,DS186,B,SPRING,2024
S10022,MATH503,B,SUMMER,2023
S10022,BIO105,A,SUMMER,2026
S10022,STAT211,B,SPRING,2023
S10022,PSY426,B,FALL,2026
S10022,CE291,C,FALL,2023
S10022,CHEM335,B,WINTER,2023
S10022,PHY141,D,SPRING,2025
S10022,ECE549,C,WINTER,2025
S10022,ECE470,A,WINTER,2023
S10022,CHEM582,F,FALL,2023
S10022,CE226,C,SUMMER,2022
S10022,ME257,A,SPRING,2023
S10022,CHEM528,C,SPRING,2023
S10022,CS448,F,SUMMER,2023
S10022,HIST428,B,FALL,2026
S10022,PHY561,C,SPRING,2022
S10023,CYB449,B,FALL,2023
S10023,CHEM507,B,SPRING,2023
S10023,CS247,C,SUMMER,2025
S10023,STAT206,C,FALL,2022
S10023,PHIL275,F,WINTER,2025
S10023,CYB458,B,SUMMER,2024
S10023,ME595,A,FALL,2024
S10023,PSY357,B,FALL,2026
S10023,CE382,F,WINTER,2023
S10023,POLI524,A,SUMMER,2022
S10023,ENG480,B,WINTER,2023
S10023,MATH506,B,SUMMER,2026
S10023,MATH237,F,FALL,2026
S10023,ECE146,A,FALL,2025
S10023,ENG362,B,WINTER,2026
S10023,DS495,A,SUMMER,2023
S10023,BIO207,B,WINTER,2026
S10023,CYB232,C,SUMMER,2026
S10023,STAT211,B,FALL,2025
S10023,DS339,C,WINTER,2022
S10023,ECON233,C,SPRING,2025
S10023,ECON116,C,SPRING,2026
S10023,CS572,C,FALL,2025
S10023,ENG159,B,SPRING,2026
S10023,SOC364,A,SPRING,2026
S10023,STAT437,C,SPRING,2026
S10023,PHIL423,C,FALL,2024
S10023,DS195,B,FALL,2022
S10023,CYB343,B,FALL,2026
S10023,DS171,A,FALL,2024
S10024,CYB575,F,WINTER,2026
S10024,ECE549,C,FALL,2023
S10024,HIST219,A,FALL,2024
S10024,CE490,C,FALL,2025
S10024,DS578,C,FALL,2024
S10024,PHY561,A,SUMMER,2026
S10024,POLI574,A,WINTER,2026
S10024,ME359,C,SPRING,2022
S10024,CYB155,A,WINTER,2024
S10024,DS315,B,SPRING,2024
S10024,PHY318,B,FALL,2026
S10024,ECON496,B,FALL,2024
S10024,MATH237,C,SPRING,2022
S10024,POLI588,A,WINTER,2023
S10024,DS395,A,WINTER,2025
S10024,CS305,B,SUMMER,2026
S10024,CYB403,A,WINTER,2025
S10024,PHY114,D,FALL,2025
S10024,PHIL183,B,SPRING,2022
S10024,ENG362,C,SUMMER,2022
S10024,ENG185,A,FALL,2024
S10024,CS572,C,FALL,2023
S10024,PHY253,C,SPRING,2026
S10024,DS553,A,SPRING,2025
S10024,ENG405,A,SUMMER,2024
S10024,CYB594,A,WINTER,2022
S10024,CHEM457,B,SPRING,2024
S10024,CHEM582,B,WINTER,2024
S10024,ENG368,A,FALL,2024
S10024,CE201,B,FALL,2022
S10025,POLI292,C,FALL,2025
S10025,ECE525,C,WINTER,2025
S10025,CYB337,A,FALL,2025
S10025,ECON461,C,FALL,2022
S10025,POLI224,C,SUMMER,2024
S10025,CE490,B,WINTER,2026
S10025,CYB569,B,SPRING,2022
S10025,CE149,D,SPRING,2024
S10025,SOC298,C,WINTER,2022
S10025,ME165,C,FALL,2025
S10025,CHEM262,F,FALL,2022
S10025,DS578,C,SUMMER,2025
S10025,PHIL168,A,SPRING,2024
S10025,ECE304,A,SUMMER,2025
S10025,DS495,A,FALL,2022
S10025,CE267,B,SPRING,2023
S10025,PHIL559,B,SUMMER,2024
S10025,ECE244,C,SPRING,2023
S10025,PHIL519,B,SPRING,2026
S10025,SOC445,B,FALL,2025
S10025,SOC473,B,WINTER,2024
S10025,SOC546,D,SUMMER,2024
S10025,CS317,A,SPRING,2022
S10025,ENG405,F,FALL,2026
S10025,POLI301,B,FALL,2024
S10025,ECON373,A,WINTER,2025
S10025,PSY136,C,SPRING,2023
S10025,POLI277,D,SPRING,2023
S10025,PHY350,B,SPRING,2024
S10025,CHEM442,A,SPRING,2022
S10026,POLI451,A,SPRING,2024
S10026,CHEM475,D,FALL,2025
S10026,HIST151,F,SPRING,2024
S10026,CS435,B,FALL,2026
S10026,SOC541,C,SUMMER,2025
S10026,POLI307,C,SPRING,2026
S10026,CYB511,D,WINTER,2024
S10026,PHIL513,F,SPRING,2026
S10026,BIO106,A,SUMMER,2022
S10026,DS182,A,SPRING,2026
S10026,ENG263,B,WINTER,2024
S10026,ME165,C,SPRING,2025
S10026,CE394,D,SPRING,2025
S10026,ME359,A,FALL,2025
S10026,POLI296,A,SPRING,2022
S10026,CHEM332,F,FALL,2025
S10026,BIO105,C,FALL,2023
S10026,MATH348,B,FALL,2025
S10026,BIO434,B,SUMMER,2026
S10026,MATH591,C,FALL,2023
S10026,CE443,D,WINTER,2022
S10026,CS305,B,FALL,2026
S10026,CHEM316,B,SUMMER,2026
S10026,PHIL494,A,WINTER,2026
S10026,DS127,D,SPRING,2024
S10026,PHIL255,B,WINTER,2022
S10026,CS317,A,SUMMER,2023
S10026,CYB232,C,SPRING,2023
S10026,PHIL479,B,SPRING,2022
S10026,SOC424,B,SPRING,2022
S10027,SOC445,A,FALL,2022
S10027,CYB251,B,SUMMER,2023
S10027,ENG492,D,SPRING,2025
S10027,PHIL519,B,FALL,2025
S10027,CS112,B,SPRING,2024
S10027,CS377,C,WINTER,2022
S10027,PHY236,F,WINTER,2025
S10027,HIST191,F,SPRING,2024
S10027,ENG250,F,SUMMER,2026
S10027,SOC282,D,FALL,2022
S10027,ECON313,C,WINTER,2026
S10027,ENG108,A,WINTER,2024
S10027,CHEM328,B,SUMMER,2023
S10027,ENG266,A,SPRING,2022
S10027,CS252,C,FALL,2025
S10027,MATH425,C,FALL,2022
S10027,ME118,D,SPRING,2025
S10027,ENG405,A,FALL,2026
S10027,PSY157,B,WINTER,2022
