code,title,credits,department,instructorId,semester,classroomNo
ECE206,Advanced Thermodynamics,2,Electronics,1268,WINTER,CR970
CHEM207,Machine Learning with Operating Systems,5,Chemistry,1090,FALL,CR522
POLI208,Concepts of Cloud Computing,5,Political Science,1102,SUMMER,CR468
STAT209,Principles of Ethics,3,Statistics,1250,SUMMER,CR885
PHY210,Applied Psychology,4,Physics,1254,FALL,CR841
CS211,Applied Organic Chemistry,5,Computer Science,1156,SUMMER,CR458
STAT212,Theory of Macroeconomics,4,Statistics,1249,WINTER,CR467
ENG213,Fundamentals of Thermodynamics,5,English,1151,SUMMER,CR877
ECE214,Introduction to Microeconomics,5,Electronics,1260,WINTER,CR396
BIO215,Theory of Artificial Intelligence,3,Biology,1243,FALL,CR891
CHEM216,Theory of Networks,5,Chemistry,1181,SPRING,CR740
BIO217,Concepts of Operating Systems,2,Biology,1134,WINTER,CR801
POLI218,Modern IoT,5,Political Science,1266,SPRING,CR873
ENG219,Machine Learning with Software Engineering,5,English,1015,FALL,CR642
CE220,Programming in Artificial Intelligence,2,Civil Engineering,1216,SUMMER,CR647
SOC221,Fundamentals of Database Systems,5,Sociology,1105,SPRING,CR779
CHEM222,Theory of Statistics,4,Chemistry,1116,SPRING,CR048
ENG223,Introduction to Organic Chemistry,4,English,1107,FALL,CR442
BIO224,Fundamentals of Cyber Security,5,Biology,1178,SUMMER,CR175
ECON225,Advanced IoT,5,Economics,1096,SUMMER,CR510
BIO226,Fundamentals of Digital Forensics,4,Biology,1125,WINTER,CR262
CS227,Theory of Organic Chemistry,3,Computer Science,1038,SPRING,CR453
CYB228,Data Structures in Organic Chemistry,5,Cyber Security,1190,FALL,CR468
SOC229,Fundamentals of Ethics,5,Sociology,1127,SPRING,CR243
DS230,Data Structures in Macroeconomics,4,Data Science,1229,FALL,CR023
DS231,Applied Algorithms,2,Data Science,1055,WINTER,CR853
SOC232,Fundamentals of IoT,4,Sociology,1011,SUMMER,CR652
HIST233,Data Structures in Quantum Physics,3,History,1110,SPRING,CR926
MATH234,Applied Digital Forensics,2,Mathematics,1163,FALL,CR750
BIO235,Advanced Organic Chemistry,4,Biology,1284,WINTER,CR180
HIST236,Principles of Software Engineering,4,History,1228,FALL,CR851
ECON237,Applied Cloud Computing,4,Economics,1254,FALL,CR824
CHEM238,Theory of Database Systems,3,Chemistry,1044,SUMMER,CR881
DS239,Programming in Macroeconomics,2,Data Science,1003,WINTER,CR015
POLI240,Programming in Networks,5,Political Science,1060,FALL,CR689
POLI241,Data Structures in Ethics,4,Political Science,1228,SPRING,CR692
PHIL242,Theory of Algorithms,4,Philosophy,1296,SUMMER,CR664
PHY243,Machine Learning with Digital Forensics,4,Physics,1064,WINTER,CR120
BIO244,Introduction to Artificial Intelligence,4,Biology,1188,WINTER,CR119
CHEM245,Fundamentals of Software Engineering,3,Chemistry,1234,WINTER,CR465
CYB246,Machine Learning with Software Engineering,5,Cyber Security,1116,SUMMER,CR907
ECE247,Machine Learning with Networks,5,Electronics,1224,WINTER,CR962
POLI248,Introduction to Macroeconomics,3,Political Science,1031,WINTER,CR456
PHIL249,Modern Networks,4,Philosophy,1183,FALL,CR063
DS250,Applied Linear Algebra,2,Data Science,1059,WINTER,CR094
HIST251,Machine Learning with IoT,2,History,1150,SPRING,CR806
ENG252,Fundamentals of Operating Systems,3,English,1115,SPRING,CR850
STAT253,Fundamentals of Data Mining,3,Statistics,1244,SUMMER,CR337
BIO254,Data Structures in Algorithms,4,Biology,1128,SUMMER,CR134
STAT255,Applied Statistics,2,Statistics,1060,SPRING,CR135
CS256,Modern Thermodynamics,4,Computer Science,1035,SPRING,CR179
POLI257,Introduction to Operating Systems,5,Political Science,1025,SPRING,CR764
PHY258,Theory of Digital Forensics,4,Physics,1085,SPRING,CR463
PSY259,Fundamentals of IoT,2,Psychology,1210,FALL,CR470
CS260,Introduction to Cloud Computing,5,Computer Science,1026,WINTER,CR703
CHEM261,Theory of Digital Forensics,2,Chemistry,1232,SPRING,CR330
BIO262,Advanced Operating Systems,4,Biology,1173,FALL,CR391
PSY263,Applied Digital Forensics,5,Psychology,1051,SPRING,CR813
CHEM264,Machine Learning with Software Engineering,3,Chemistry,1150,WINTER,CR463
PHIL265,Concepts of Microeconomics,5,Philosophy,1290,WINTER,CR426
CHEM266,Modern Psychology,4,Chemistry,1158,FALL,CR384
BIO267,Machine Learning with Cloud Computing,2,Biology,1126,SPRING,CR852
PHY268,Advanced Psychology,2,Physics,1119,FALL,CR832
BIO269,Programming in Artificial Intelligence,4,Biology,1242,SPRING,CR421
CYB270,Machine Learning with Psychology,2,Cyber Security,1283,FALL,CR615
SOC271,Modern Networks,3,Sociology,1003,SUMMER,CR673
CE272,Fundamentals of Networks,4,Civil Engineering,1110,FALL,CR118
POLI273,Data Structures in Thermodynamics,5,Political Science,1219,SPRING,CR624
POLI274,Introduction to Statistics,4,Political Science,1227,FALL,CR944
ENG275,Modern Algorithms,3,English,1151,SUMMER,CR580
DS276,Advanced Operating Systems,2,Data Science,1236,SPRING,CR765
PSY277,Fundamentals of Ethics,5,Psychology,1127,WINTER,CR350
ECON278,Modern Organic Chemistry,4,Economics,1196,SPRING,CR905
MATH279,Principles of Statistics,2,Mathematics,1290,SPRING,CR279
ME280,Machine Learning with Psychology,5,Mechanical Engineering,1221,WINTER,CR425
POLI281,Fundamentals of Cyber Security,2,Political Science,1184,FALL,CR441
CHEM282,Applied Data Mining,5,Chemistry,1277,FALL,CR047
PHIL283,Concepts of IoT,2,Philosophy,1097,SPRING,CR210
SOC284,Fundamentals of Operating Systems,4,Sociology,1191,FALL,CR336
CHEM285,Introduction to Cloud Computing,5,Chemistry,1267,SUMMER,CR133
DS286,Programming in Thermodynamics,4,Data Science,1246,SPRING,CR407
MATH287,Concepts of Algorithms,5,Mathematics,1029,SPRING,CR883
ENG288,Data Structures in Psychology,5,English,1295,WINTER,CR297
CHEM289,Concepts of Algorithms,4,Chemistry,1086,SUMMER,CR821
ME290,Analytics using Macroeconomics,2,Mechanical Engineering,1239,WINTER,CR865
CHEM291,Fundamentals of Psychology,5,Chemistry,1075,SPRING,CR406
SOC292,Analytics using Microeconomics,3,Sociology,1009,FALL,CR798
ECON293,Advanced Cyber Security,2,Economics,1195,SUMMER,CR928
CYB294,Modern Operating Systems,3,Cyber Security,1019,SPRING,CR150
POLI295,Fundamentals of Statistics,3,Political Science,1236,SPRING,CR182
CE296,Theory of Data Mining,5,Civil Engineering,1220,FALL,CR885
ENG297,Principles of Digital Forensics,2,English,1197,WINTER,CR453
SOC298,Applied Data Mining,2,Sociology,1174,FALL,CR520
PHY299,Applied Digital Forensics,5,Physics,1129,SPRING,CR059
CYB300,Applied Database Systems,2,Cyber Security,1090,WINTER,CR474
STAT301,Analytics using Artificial Intelligence,5,Statistics,1285,SUMMER,CR330
CE302,Programming in Operating Systems,2,Civil Engineering,1090,WINTER,CR106
ENG303,Analytics using Database Systems,3,English,1175,SPRING,CR254
ME304,Theory of Cyber Security,3,Mechanical Engineering,1238,FALL,CR382
SOC305,Concepts of Psychology,4,Sociology,1145,SPRING,CR809
ENG306,Advanced Microeconomics,2,English,1050,WINTER,CR291
POLI307,Analytics using IoT,3,Political Science,1091,FALL,CR084
BIO308,Modern Organic Chemistry,5,Biology,1042,SUMMER,CR610
PHY309,Applied Software Engineering,5,Physics,1175,FALL,CR833
BIO310,Machine Learning with Cyber Security,2,Biology,1107,WINTER,CR521
CYB311,Introduction to Macroeconomics,4,Cyber Security,1263,SUMMER,CR974
HIST312,Modern Cloud Computing,3,History,1215,SUMMER,CR141
BIO313,Advanced Organic Chemistry,2,Biology,1058,SPRING,CR678
ENG314,Data Structures in Operating Systems,5,English,1159,SUMMER,CR167
ECON315,Analytics using IoT,3,Economics,1006,WINTER,CR045
ECE316,Modern Thermodynamics,5,Electronics,1112,FALL,CR771
ME317,Fundamentals of Software Engineering,3,Mechanical Engineering,1246,FALL,CR989
CE318,Fundamentals of Macroeconomics,5,Civil Engineering,1067,WINTER,CR788
SOC319,Concepts of Cyber Security,5,Sociology,1093,SUMMER,CR837
HIST320,Data Structures in Operating Systems,4,History,1155,SPRING,CR657
CE321,Modern Software Engineering,2,Civil Engineering,1234,SPRING,CR292
PHY322,Principles of Quantum Physics,5,Physics,1015,SUMMER,CR851
ECE323,Advanced Thermodynamics,5,Electronics,1207,FALL,CR953
CS324,Concepts of Artificial Intelligence,5,Computer Science,1107,FALL,CR242
DS325,Advanced Macroeconomics,3,Data Science,1267,SPRING,CR327
CHEM326,Analytics using Microeconomics,3,Chemistry,1095,SUMMER,CR040
SOC327,Theory of Operating Systems,5,Sociology,1145,WINTER,CR631
CS328,Advanced Algorithms,4,Computer Science,1162,SUMMER,CR856
BIO329,Programming in IoT,5,Biology,1070,SPRING,CR795
SOC330,Fundamentals of Organic Chemistry,2,Sociology,1005,SPRING,CR245
ECE331,Machine Learning with IoT,5,Electronics,1048,SPRING,CR114
CE332,Data Structures in Software Engineering,2,Civil Engineering,1112,SUMMER,CR736
BIO333,Applied Psychology,2,Biology,1039,FALL,CR247
ECE334,Principles of Database Systems,4,Electronics,1097,SPRING,CR977
PSY335,Programming in Cyber Security,2,Psychology,1127,WINTER,CR895
CE336,Introduction to Ethics,4,Civil Engineering,1034,FALL,CR766
CS337,Modern Database Systems,4,Computer Science,1282,SUMMER,CR751
CHEM338,Data Structures in Microeconomics,3,Chemistry,1212,SPRING,CR361
STAT339,Modern Statistics,5,Statistics,1272,WINTER,CR647
ECON340,Principles of Database Systems,5,Economics,1237,SPRING,CR301
HIST341,Introduction to Linear Algebra,2,History,1097,FALL,CR956
SOC342,Programming in Ethics,5,Sociology,1136,FALL,CR038
HIST343,Applied Macroeconomics,2,History,1276,FALL,CR280
CHEM344,Modern Psychology,5,Chemistry,1283,WINTER,CR917
DS345,Modern Statistics,5,Data Science,1111,WINTER,CR377
PSY346,Applied Database Systems,5,Psychology,1051,SPRING,CR441
ECON347,Programming in Organic Chemistry,4,Economics,1130,SPRING,CR082
ENG348,Machine Learning with Organic Chemistry,4,English,1259,WINTER,CR618
ECE349,Principles of Digital Forensics,4,Electronics,1172,WINTER,CR044
CYB350,Data Structures in Psychology,4,Cyber Security,1133,SPRING,CR077
DS351,Modern Cyber Security,3,Data Science,1174,SPRING,CR147
ME352,Introduction to Operating Systems,2,Mechanical Engineering,1084,SUMMER,CR798
CYB353,Modern Ethics,2,Cyber Security,1265,SUMMER,CR696
ME354,Modern Macroeconomics,5,Mechanical Engineering,1246,SPRING,CR588
BIO355,Programming in Macroeconomics,5,Biology,1061,FALL,CR666
POLI356,Fundamentals of Networks,2,Political Science,1243,SUMMER,CR512
PSY357,Concepts of Software Engineering,2,Psychology,1060,FALL,CR794
POLI358,Analytics using Digital Forensics,3,Political Science,1122,FALL,CR711
CE359,Fundamentals of Networks,3,Civil Engineering,1239,SPRING,CR463
ECON360,Analytics using Digital Forensics,2,Economics,1269,FALL,CR684
CYB361,Analytics using Database Systems,4,Cyber Security,1074,FALL,CR872
ECON362,Analytics using Statistics,4,Economics,1279,SUMMER,CR125
HIST363,Principles of Thermodynamics,5,History,1082,SPRING,CR370
STAT364,Data Structures in Macroeconomics,5,Statistics,1259,SUMMER,CR627
PHY365,Advanced Organic Chemistry,5,Physics,1022,WINTER,CR539
ECE366,Concepts of Data Mining,2,Electronics,1250,SUMMER,CR996
ENG367,Machine Learning with Database Systems,5,English,1064,WINTER,CR697
PSY368,Modern Operating Systems,3,Psychology,1037,SUMMER,CR444
PSY369,Introduction to Networks,3,Psychology,1127,FALL,CR169
ECON370,Modern Thermodynamics,4,Economics,1053,FALL,CR867
PHY371,Applied Linear Algebra,4,Physics,1065,SUMMER,CR641
SOC372,Data Structures in Software Engineering,2,Sociology,1265,SUMMER,CR607
BIO373,Principles of IoT,4,Biology,1040,SPRING,CR846
CS374,Advanced Artificial Intelligence,4,Computer Science,1130,SUMMER,CR786
ECE375,Data Structures in Algorithms,5,Electronics,1290,FALL,CR658
SOC376,Theory of Thermodynamics,5,Sociology,1234,FALL,CR465
PHY377,Analytics using Artificial Intelligence,3,Physics,1215,WINTER,CR426
CE378,Theory of Linear Algebra,4,Civil Engineering,1263,SUMMER,CR321
ENG379,Analytics using Macroeconomics,5,English,1201,SUMMER,CR779
CYB380,Programming in Software Engineering,2,Cyber Security,1052,FALL,CR248
ME381,Advanced Quantum Physics,5,Mechanical Engineering,1246,SUMMER,CR145
CHEM382,Introduction to Organic Chemistry,5,Chemistry,1010,WINTER,CR255
ECON383,Modern Data Mining,4,Economics,1003,SUMMER,CR782
ECON384,Theory of Cyber Security,5,Economics,1143,WINTER,CR901
SOC385,Theory of Algorithms,2,Sociology,1024,WINTER,CR518
ME386,Fundamentals of Linear Algebra,4,Mechanical Engineering,1181,SPRING,CR052
SOC387,Theory of IoT,5,Sociology,1052,FALL,CR550
CS388,Advanced Psychology,3,Computer Science,1279,FALL,CR745
CYB389,Concepts of Macroeconomics,2,Cyber Security,1285,WINTER,CR053
STAT390,Fundamentals of Macroeconomics,4,Statistics,1265,SPRING,CR396
PSY391,Theory of Software Engineering,4,Psychology,1096,SPRING,CR132
CHEM392,Concepts of Macroeconomics,4,Chemistry,1110,FALL,CR774
BIO393,Fundamentals of IoT,5,Biology,1078,SPRING,CR047
MATH394,Principles of Microeconomics,5,Mathematics,1053,WINTER,CR153
PSY395,Principles of Microeconomics,4,Psychology,1184,SUMMER,CR403
SOC396,Data Structures in Microeconomics,5,Sociology,1090,FALL,CR487
CS397,Modern Microeconomics,2,Computer Science,1181,WINTER,CR598
SOC398,Analytics using Algorithms,5,Sociology,1101,FALL,CR991
PHIL399,Analytics using Artificial Intelligence,5,Philosophy,1023,SUMMER,CR537
DS400,Principles of Thermodynamics,2,Data Science,1126,SPRING,CR196
CS401,Theory of Microeconomics,5,Computer Science,1029,SUMMER,CR423
HIST402,Concepts of Cyber Security,5,History,1145,SPRING,CR723
BIO403,Programming in Linear Algebra,4,Biology,1189,WINTER,CR539
DS404,Modern Statistics,5,Data Science,1232,FALL,CR560
CYB405,Machine Learning with Quantum Physics,5,Cyber Security,1187,SUMMER,CR981
PHIL406,Applied Software Engineering,4,Philosophy,1273,SUMMER,CR965
SOC407,Applied Linear Algebra,5,Sociology,1204,FALL,CR492
CYB408,Programming in Quantum Physics,4,Cyber Security,1025,SPRING,CR588
STAT409,Concepts of Ethics,4,Statistics,1060,SUMMER,CR298
MATH410,Applied Database Systems,4,Mathematics,1251,WINTER,CR672
POLI411,Analytics using Cloud Computing,3,Political Science,1108,SUMMER,CR848
STAT412,Applied Software Engineering,4,Statistics,1064,SUMMER,CR112
PHIL413,Fundamentals of Artificial Intelligence,3,Philosophy,1175,SUMMER,CR054
CHEM414,Concepts of Microeconomics,5,Chemistry,1239,SPRING,CR698
BIO415,Introduction to Software Engineering,3,Biology,1215,WINTER,CR669
CE416,Theory of Linear Algebra,4,Civil Engineering,1229,FALL,CR293
MATH417,Advanced Data Mining,3,Mathematics,1023,SPRING,CR936
ECON418,Concepts of Statistics,2,Economics,1146,WINTER,CR807
CE419,Principles of Organic Chemistry,2,Civil Engineering,1003,SPRING,CR306
CHEM420,Modern Organic Chemistry,5,Chemistry,1244,WINTER,CR911
BIO421,Programming in Digital Forensics,4,Biology,1251,SUMMER,CR829
CHEM422,Modern Statistics,5,Chemistry,1298,FALL,CR736
ECON423,Introduction to Microeconomics,4,Economics,1252,SUMMER,CR180
DS424,Concepts of Cyber Security,4,Data Science,1154,SPRING,CR411
CHEM425,Principles of Operating Systems,5,Chemistry,1042,FALL,CR959
PHIL426,Introduction to Quantum Physics,5,Philosophy,1143,SUMMER,CR458
POLI427,Modern Organic Chemistry,2,Political Science,1089,FALL,CR670
CYB428,Analytics using Thermodynamics,2,Cyber Security,1170,SPRING,CR477
SOC429,Principles of Ethics,4,Sociology,1251,SPRING,CR655
SOC430,Modern IoT,3,Sociology,1043,SUMMER,CR981
BIO431,Theory of Operating Systems,5,Biology,1126,FALL,CR426
STAT432,Theory of Software Engineering,3,Statistics,1063,SUMMER,CR697
PHY433,Programming in Digital Forensics,4,Physics,1137,SPRING,CR940
CHEM434,Introduction to Software Engineering,3,Chemistry,1271,SUMMER,CR169
ENG435,Programming in Digital Forensics,2,English,1297,SUMMER,CR735
CE436,Advanced Cyber Security,5,Civil Engineering,1002,SPRING,CR465
BIO437,Programming in Psychology,5,Biology,1243,SPRING,CR573
ME438,Machine Learning with Organic Chemistry,2,Mechanical Engineering,1227,WINTER,CR261
CS439,Analytics using Linear Algebra,2,Computer Science,1059,SPRING,CR434
CYB440,Analytics using Database Systems,2,Cyber Security,1165,SPRING,CR957
CE441,Introduction to Organic Chemistry,5,Civil Engineering,1137,SUMMER,CR788
BIO442,Machine Learning with Psychology,4,Biology,1080,WINTER,CR460
DS443,Concepts of Database Systems,3,Data Science,1086,FALL,CR122
ECON444,Programming in Ethics,3,Economics,1124,SUMMER,CR855
CS445,Introduction to Organic Chemistry,5,Computer Science,1060,WINTER,CR545
DS446,Fundamentals of Thermodynamics,5,Data Science,1044,FALL,CR159
POLI447,Fundamentals of Networks,2,Political Science,1011,WINTER,CR630
CS448,Fundamentals of Linear Algebra,2,Computer Science,1163,SPRING,CR609
MATH449,Theory of IoT,2,Mathematics,1273,SUMMER,CR759
MATH450,Concepts of Digital Forensics,3,Mathematics,1267,SUMMER,CR773
MATH451,Principles of Cyber Security,4,Mathematics,1097,SUMMER,CR836
ENG452,Data Structures in IoT,4,English,1015,SUMMER,CR310
BIO453,Machine Learning with Cyber Security,3,Biology,1058,WINTER,CR308
POLI454,Introduction to Software Engineering,3,Political Science,1091,WINTER,CR570
CE455,Introduction to Macroeconomics,5,Civil Engineering,1252,FALL,CR714
ECE456,Concepts of Operating Systems,4,Electronics,1103,WINTER,CR189
STAT457,Theory of Thermodynamics,3,Statistics,1149,FALL,CR879
BIO458,Theory of Artificial Intelligence,5,Biology,1085,WINTER,CR571
PSY459,Principles of Ethics,3,Psychology,1270,FALL,CR209
ENG460,Machine Learning with Database Systems,5,English,1214,FALL,CR095
STAT461,Analytics using Linear Algebra,2,Statistics,1011,FALL,CR387
MATH462,Advanced Linear Algebra,3,Mathematics,1283,WINTER,CR214
ENG463,Applied Algorithms,3,English,1117,SUMMER,CR986
CHEM464,Analytics using Cloud Computing,3,Chemistry,1088,SUMMER,CR407
PHIL465,Programming in Microeconomics,4,Philosophy,1234,WINTER,CR478
STAT466,Machine Learning with Macroeconomics,4,Statistics,1094,FALL,CR369
PSY467,Theory of Digital Forensics,2,Psychology,1203,WINTER,CR780
ENG468,Fundamentals of Macroeconomics,4,English,1018,WINTER,CR047
PHIL469,Analytics using Operating Systems,2,Philosophy,1238,FALL,CR567
ECE470,Applied Operating Systems,3,Electronics,1065,FALL,CR236
DS471,Data Structures in Thermodynamics,5,Data Science,1249,FALL,CR264
CE472,Analytics using Cloud Computing,5,Civil Engineering,1073,SUMMER,CR751
CYB473,Principles of Operating Systems,5,Cyber Security,1105,SUMMER,CR939
STAT474,Machine Learning with Artificial Intelligence,2,Statistics,1176,SPRING,CR968
MATH475,Introduction to Psychology,3,Mathematics,1002,SUMMER,CR070
BIO476,Introduction to Linear Algebra,5,Biology,1090,FALL,CR062
CE477,Machine Learning with Cloud Computing,2,Civil Engineering,1007,SPRING,CR545
STAT478,Concepts of Algorithms,2,Statistics,1041,FALL,CR549
SOC479,Introduction to Cyber Security,5,Sociology,1126,SUMMER,CR110
CHEM480,Programming in Operating Systems,3,Chemistry,1167,SUMMER,CR635
PSY481,Applied Macroeconomics,4,Psychology,1293,WINTER,CR081
CYB482,Concepts of Digital Forensics,3,Cyber Security,1193,SUMMER,CR308
PHY483,Machine Learning with Artificial Intelligence,2,Physics,1103,WINTER,CR389
DS484,Programming in Cloud Computing,2,Data Science,1264,SPRING,CR720
ECON485,Advanced Cloud Computing,5,Economics,1151,FALL,CR580
CHEM486,Programming in Artificial Intelligence,3,Chemistry,1063,SUMMER,CR923
CE487,Applied Artificial Intelligence,2,Civil Engineering,1199,FALL,CR921
STAT488,Data Structures in Artificial Intelligence,3,Statistics,1166,FALL,CR017
